route_line,from_station,to_station,sequence
Salem-Namakkal-Karur-Dindigul,RASP,KLGN,4
Salem-Namakkal-Karur-Dindigul,KLGN,NMKL,5
Salem-Namakkal-Karur-Dindigul,NMKL,MONR,6
Salem-Namakkal-Karur-Dindigul,MONR,VNGL,7
Salem-Namakkal-Karur-Dindigul,VNGL,KRR,8
Salem-Namakkal-Karur-Dindigul,KRR,VEI,9
Salem-Namakkal-Karur-Dindigul,VEI,PALM,10
Salem-Namakkal-Karur-Dindigul,PALM,ERI,11
Salem-Namakkal-Karur-Dindigul,ERI,DG,12
Erode-Trichy via Karur,ED,CVD,2
Erode-Trichy via Karur,CVD,PAS,3
Erode-Trichy via Karur,PAS,URL,4
Erode-Trichy via Karur,URL,KMD,5
Erode-Trichy via Karur,KMD,PGR,6
Erode-Trichy via Karur,PGR,MPLM,7
Erode-Trichy via Karur,MPLM,KRR,8
Erode-Trichy via Karur,KRR,VRQ,9
Erode-Trichy via Karur,VRQ,MYU,10
Erode-Trichy via Karur,MYU,SEV,11
Erode-Trichy via Karur,SEV,MMH,12
Erode-Trichy via Karur,MMH,LP,13
Erode-Trichy via Karur,LP,TIC,14
Erode-Trichy via Karur,TIC,KLT,15
Erode-Trichy via Karur,KLT,PLI,16
Erode-Trichy via Karur,PLI,PGN,17
Erode-Trichy via Karur,PGN,EL,18
Erode-Trichy via Karur,EL,JPM,19
Erode-Trichy via Karur,JPM,MTNL,20
Erode-Trichy via Karur,MTNL,TP,21
Erode-Trichy via Karur,TP,TPE,22
Erode-Trichy via Karur,TPE,TPJ,23
Salem-Vridhachalam,SA,SXT,2
Salem-Vridhachalam,SXT,APN,3
Salem-Vridhachalam,APN,MPL,4
Salem-Vridhachalam,MPL,VGE,5
Salem-Vridhachalam,VGE,ETP,6
Salem-Vridhachalam,ETP,PDKM,7
Salem-Vridhachalam,PDKM,ATU,8
Salem-Vridhachalam,ATU,TVS,9
Salem-Vridhachalam,TVS,MLYR,10
Salem-Vridhachalam,MLYR,CHSM,11
Salem-Vridhachalam,CHSM,SRVT,12
Salem-Vridhachalam,SRVT,PRV,13
Salem-Vridhachalam,PRV,KKTI,14
Salem-Vridhachalam,KKTI,MKSP,15
Salem-Vridhachalam,MKSP,VRI,16
Salem-KSR Bengaluru (via DPJ),SA,OML,2
Salem-KSR Bengaluru (via DPJ),OML,TGN,3
Salem-KSR Bengaluru (via DPJ),TGN,TOP,4
Salem-KSR Bengaluru (via DPJ),TOP,DPJ,5
Salem-KSR Bengaluru (via DPJ),DPJ,PCV,6
Salem-KSR Bengaluru (via DPJ),PCV,RYC,7
Salem-KSR Bengaluru (via DPJ),RYC,HSRA,8
Salem-KSR Bengaluru (via DPJ),HSRA,AQL,9
Salem-KSR Bengaluru (via DPJ),AQL,HLE,10
Salem-KSR Bengaluru (via DPJ),HLE,CRLM,11
Salem-KSR Bengaluru (via DPJ),CRLM,BYPL,12
Salem-KSR Bengaluru (via DPJ),BYPL,BNCE,13
Salem-KSR Bengaluru (via DPJ),BNCE,BNC,14
Salem-KSR Bengaluru (via DPJ),BNC,SBC,15
Salem-SMVT Bengaluru (via DPJ),SA,OML,2
Salem-SMVT Bengaluru (via DPJ),OML,TGN,3
Salem-SMVT Bengaluru (via DPJ),TGN,TOP,4
Salem-SMVT Bengaluru (via DPJ),TOP,DPJ,5
Salem-SMVT Bengaluru (via DPJ),DPJ,PCV,6
Salem-SMVT Bengaluru (via DPJ),PCV,RYC,7
Salem-SMVT Bengaluru (via DPJ),RYC,HSRA,8
Salem-SMVT Bengaluru (via DPJ),HSRA,AQL,9
Salem-SMVT Bengaluru (via DPJ),AQL,HLE,10
Salem-SMVT Bengaluru (via DPJ),HLE,CRLM,11
Salem-SMVT Bengaluru (via DPJ),CRLM,BYPL,12
Salem-SMVT Bengaluru (via DPJ),BYPL,SMVB,13
Salem-Yesvantpur (via DPJ),SA,OML,2
Salem-Yesvantpur (via DPJ),OML,TGN,3
Salem-Yesvantpur (via DPJ),TGN,TOP,4
Salem-Yesvantpur (via DPJ),TOP,DPJ,5
Salem-Yesvantpur (via DPJ),DPJ,PCV,6
Salem-Yesvantpur (via DPJ),PCV,RYC,7
Salem-Yesvantpur (via DPJ),RYC,HSRA,8
Salem-Yesvantpur (via DPJ),HSRA,AQL,9
Salem-Yesvantpur (via DPJ),AQL,HLE,10
Salem-Yesvantpur (via DPJ),HLE,CRLM,11
Salem-Yesvantpur (via DPJ),CRLM,BYPL,12
Salem-Yesvantpur (via DPJ),BYPL,BNCE,13
Salem-Yesvantpur (via DPJ),BNCE,BNC,14
Salem-Yesvantpur (via DPJ),BNC,YPR,15
Salem-Mettur Dam,SA,OML,2
Salem-Mettur Dam,OML,MCRD,3
Salem-Mettur Dam,MCRD,MTDM,4
Coimbatore-Mettupalayam,CBE,TDE,2
Coimbatore-Mettupalayam,TDE,PKD,3
Coimbatore-Mettupalayam,PKD,KAY,4
Coimbatore-Mettupalayam,KAY,MTP,5
Nilgiri Mountain Railway,MTP,HLG,2
Nilgiri Mountain Railway,HLG,ONR,3
Nilgiri Mountain Railway,ONR,WEL,4
Nilgiri Mountain Railway,WEL,AVK,5
Nilgiri Mountain Railway,AVK,KXT,6
Nilgiri Mountain Railway,KXT,LOV,7
Nilgiri Mountain Railway,LOV,UAM,8
Coimbatore - Palakkad,CBE,PTJ,2
Coimbatore - Palakkad,PTJ,MDKI,3
Coimbatore - Palakkad,MDKI,ETMD,4
Coimbatore - Palakkad,ETMD,WRA,5
Coimbatore - Palakkad,WRA,KJKD,6
Coimbatore - Palakkad,KJKD,PGT,7
Palakkad - Irugur (Bypass via Podanur),PGT,KJKD,2
Palakkad - Irugur (Bypass via Podanur),KJKD,WRA,3
Palakkad - Irugur (Bypass via Podanur),WRA,ETMD,4
Palakkad - Irugur (Bypass via Podanur),ETMD,MDKI,5
Palakkad - Irugur (Bypass via Podanur),MDKI,PTJ,6
Palakkad - Irugur (Bypass via Podanur),PTJ,IGU,7
Palakkad - Shoranur,PGT,PLL,2
Palakkad - Shoranur,PLL,LDY,3
Palakkad - Shoranur,LDY,OTP,4
Palakkad - Shoranur,OTP,MNUR,5
Palakkad - Shoranur,MNUR,SRR,6
Shoranur-Mangalore,SRR,PTB,2
Shoranur-Mangalore,PTB,KODN,3
Shoranur-Mangalore,KODN,PUM,4
Shoranur-Mangalore,PUM,KTU,5
Shoranur-Mangalore,KTU,TUA,6
Shoranur-Mangalore,TUA,TIR,7
Shoranur-Mangalore,TIR,TA,8
Shoranur-Mangalore,TA,PGI,9
Shoranur-Mangalore,PGI,VLI,10
Shoranur-Mangalore,VLI,KN,11
Shoranur-Mangalore,KN,FK,12
Shoranur-Mangalore,FK,KUL,13
Shoranur-Mangalore,KUL,CLT,14
Shoranur-Mangalore,CLT,VLL,15
Shoranur-Mangalore,VLL,WH,16
Shoranur-Mangalore,WH,ETR,17
Shoranur-Mangalore,ETR,CMC,18
Shoranur-Mangalore,CMC,QLD,19
Shoranur-Mangalore,QLD,VEK,20
Shoranur-Mangalore,VEK,TKT,21
Shoranur-Mangalore,TKT,PYQR,22
Shoranur-Mangalore,PYQR,IGL,23
Shoranur-Mangalore,IGL,BDJ,24
Shoranur-Mangalore,BDJ,NAU,25
Shoranur-Mangalore,NAU,MUKE,26
Shoranur-Mangalore,MUKE,MAHE,27
Shoranur-Mangalore,MAHE,JGE,28
Shoranur-Mangalore,JGE,TLY,29
Shoranur-Mangalore,TLY,DMD,30
Shoranur-Mangalore,DMD,ETK,31
Shoranur-Mangalore,ETK,CS,32
Shoranur-Mangalore,CS,CAN,33
Shoranur-Mangalore,CAN,VAPM,34
Shoranur-Mangalore,VAPM,PPNS,35
Shoranur-Mangalore,PPNS,KPQ,36
Shoranur-Mangalore,KPQ,PAZ,37
Shoranur-Mangalore,PAZ,ELM,38
Shoranur-Mangalore,ELM,PAY,39
Shoranur-Mangalore,PAY,TKQ,40
Shoranur-Mangalore,TKQ,CHV,41
Shoranur-Mangalore,CHV,NLE,42
Shoranur-Mangalore,NLE,KZE,43
Shoranur-Mangalore,KZE,BFR,44
Shoranur-Mangalore,BFR,KQK,45
Shoranur-Mangalore,KQK,KLAD,46
Shoranur-Mangalore,KLAD,KGQ,47
Shoranur-Mangalore,KGQ,KMQ,48
Shoranur-Mangalore,KMQ,UAA,49
Shoranur-Mangalore,UAA,MJS,50
Shoranur-Mangalore,MJS,ULL,51
Shoranur-Mangalore,ULL,MAQ,52
Shoranur-Mangalore,MAQ,MAJN,53
Shoranur-Mangalore,MAJN,PNMB,54
Shoranur-Mangalore,PNMB,TOK,55
Shoranur-Mangalore,TOK,JOKT,56
Palakkad-Pollachi,PGT,PGTN,2
Palakkad-Pollachi,PGTN,PDGM,3
Palakkad-Pollachi,PDGM,VDK,4
Palakkad-Pollachi,VDK,KLGD,5
Palakkad-Pollachi,KLGD,MMDA,6
Palakkad-Pollachi,MMDA,MXM,7
Palakkad-Pollachi,MXM,POY,8
Shoranur-Nilambur,SRR,VDKS,2
Shoranur-Nilambur,VDKS,VPZ,3
Shoranur-Nilambur,VPZ,KZC,4
Shoranur-Nilambur,KZC,CQA,5
Shoranur-Nilambur,CQA,AAM,6
Shoranur-Nilambur,AAM,PKQ,7
Shoranur-Nilambur,PKQ,MLTR,8
Shoranur-Nilambur,MLTR,TUV,9
Shoranur-Nilambur,TUV,TDPM,10
Shoranur-Nilambur,TDPM,VNB,11
Shoranur-Nilambur,VNB,NIL,12
Main Line (via Kottayam),SRR,VTK,2
Main Line (via Kottayam),VTK,MUC,3
Main Line (via Kottayam),MUC,WKI,4
Main Line (via Kottayam),WKI,MGK,5
Main Line (via Kottayam),MGK,PNQ,6
Main Line (via Kottayam),PNQ,TCR,7
Main Line (via Kottayam),TCR,OLR,8
Main Line (via Kottayam),OLR,PUK,9
Main Line (via Kottayam),PUK,NYI,10
Main Line (via Kottayam),NYI,IJK,11
Main Line (via Kottayam),IJK,CKI,12
Main Line (via Kottayam),CKI,DINR,13
Main Line (via Kottayam),DINR,KRAN,14
Main Line (via Kottayam),KRAN,KUC,15
Main Line (via Kottayam),KUC,AFK,16
Main Line (via Kottayam),AFK,CWR,17
Main Line (via Kottayam),CWR,AWY,18
Main Line (via Kottayam),AWY,KLMR,19
Main Line (via Kottayam),KLMR,IPL,20
Main Line (via Kottayam),IPL,ERN,21
Main Line (via Kottayam),ERN,ERS,22
Main Line (via Kottayam),ERS,TRTR,23
Main Line (via Kottayam),TRTR,KFE,24
Main Line (via Kottayam),KFE,MNTT,25
Main Line (via Kottayam),MNTT,KPTM,26
Main Line (via Kottayam),KPTM,PVRD,27
Main Line (via Kottayam),PVRD,VARD,28
Main Line (via Kottayam),VARD,KDTY,29
Main Line (via Kottayam),KDTY,KRPP,30
Main Line (via Kottayam),KRPP,ETM,31
Main Line (via Kottayam),ETM,KFQ,32
Main Line (via Kottayam),KFQ,KTYM,33
Main Line (via Kottayam),KTYM,CGY,34
Main Line (via Kottayam),CGY,TRVL,35
Main Line (via Kottayam),TRVL,CNGR,36
Main Line (via Kottayam),CNGR,CYN,37
Main Line (via Kottayam),CYN,MVLK,38
Main Line (via Kottayam),MVLK,KYJ,39
Main Line (via Kottayam),KYJ,OCR,40
Main Line (via Kottayam),OCR,KPY,41
Main Line (via Kottayam),KPY,STKT,42
Main Line (via Kottayam),STKT,MQO,43
Main Line (via Kottayam),MQO,PRND,44
Main Line (via Kottayam),PRND,QLN,45
Main Line (via Kottayam),QLN,IRP,46
Main Line (via Kottayam),IRP,MYY,47
Main Line (via Kottayam),MYY,PVU,48
Main Line (via Kottayam),PVU,KFI,49
Main Line (via Kottayam),KFI,EVA,50
Main Line (via Kottayam),EVA,VAK,51
Main Line (via Kottayam),VAK,AMY,52
Main Line (via Kottayam),AMY,KVU,53
Main Line (via Kottayam),KVU,CRY,54
Main Line (via Kottayam),CRY,PGZ,55
Main Line (via Kottayam),PGZ,MQU,56
Main Line (via Kottayam),MQU,KXP,57
Main Line (via Kottayam),KXP,KZK,58
Main Line (via Kottayam),KZK,VELI,59
Main Line (via Kottayam),VELI,KCVL,60
Main Line (via Kottayam),KCVL,TVP,61
Main Line (via Kottayam),TVP,TVC,62
Coastal Line (Alappuzha),ERS,KUMM,2
Coastal Line (Alappuzha),KUMM,AROR,3
Coastal Line (Alappuzha),AROR,EZP,4
Coastal Line (Alappuzha),EZP,TUVR,5
Coastal Line (Alappuzha),TUVR,VAY,6
Coastal Line (Alappuzha),VAY,SRTL,7
Coastal Line (Alappuzha),SRTL,TRVZ,8
Coastal Line (Alappuzha),TRVZ,MAKM,9
Coastal Line (Alappuzha),MAKM,KAVR,10
Coastal Line (Alappuzha),KAVR,TMPY,11
Coastal Line (Alappuzha),TMPY,ALLP,12
Coastal Line (Alappuzha),ALLP,PNPR,13
Coastal Line (Alappuzha),PNPR,AMPA,14
Coastal Line (Alappuzha),AMPA,TZHI,15
Coastal Line (Alappuzha),TZHI,KVTA,16
Coastal Line (Alappuzha),KVTA,HAD,17
Coastal Line (Alappuzha),HAD,CHPD,18
Coastal Line (Alappuzha),CHPD,KYJ,19
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),TVC,NEM,2
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),NEM,BRAM,3
