division,route_line,sequence,station_code,orig_station_name,normalized_name,distance
PALAKKAD,Coimbatore - Palakkad,1,CBE,Coimbatore Junction,coimbatore junction,
PALAKKAD,Coimbatore - Palakkad,2,PTJ,Podanur Junction,podanur junction,
PALAKKAD,Coimbatore - Palakkad,3,MDKI,Madukarai,madukarai,
PALAKKAD,Coimbatore - Palakkad,4,ETMD,Ettimadai,ettimadai,
PALAKKAD,Coimbatore - Palakkad,5,WRA,Walayar,walayar,
PALAKKAD,Coimbatore - Palakkad,6,KJKD,Kanjikode,kanjikode,
PALAKKAD,Coimbatore - Palakkad,7,PGT,Palakkad Junction,palakkad junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),1,PGT,Palakkad Junction,palakkad junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),2,KJKD,Kanjikode,kanjikode,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),3,WRA,Walayar,walayar,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),4,ETMD,Ettimadai,ettimadai,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),5,MDKI,Madukarai,madukarai,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),6,PTJ,Podanur Junction,podanur junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),7,IGU,Irugur Junction,irugur junction,
PALAKKAD,Palakkad - Shoranur,1,PGT,Palakkad Junction,palakkad junction,
PALAKKAD,Palakkad - Shoranur,2,PLL,Parli,parli,
PALAKKAD,Palakkad - Shoranur,3,LDY,Lakkiti,lakkiti,
