division,route_line,sequence,station_code,station_name,distance_km_from_origin
SALEM,Salem-Yesvantpur (via DPJ),5,DPJ,Dharmappuri,66.0
SALEM,Salem-Yesvantpur (via DPJ),6,PCV,Palakkodu,92.0
SALEM,Salem-Yesvantpur (via DPJ),7,RYC,Rayakottai,124.0
SALEM,Salem-Yesvantpur (via DPJ),8,HSRA,Hosur,159.0
SALEM,Salem-Yesvantpur (via DPJ),9,AQL,Anekal Road,173.0
SALEM,Salem-Yesvantpur (via DPJ),10,HLE,Heelalige,183.0
SALEM,Salem-Yesvantpur (via DPJ),11,CRLM,Carmelaram,193.0
SALEM,Salem-Yesvantpur (via DPJ),12,BYPL,Baiyappanahalli,200.0
SALEM,Salem-Yesvantpur (via DPJ),13,BNCE,Bengaluru East,203.0
SALEM,Salem-Yesvantpur (via DPJ),14,BNC,Bengaluru Cantt.,205.0
SALEM,Salem-Yesvantpur (via DPJ),15,YPR,Yesvantpur Junction,215.0
SALEM,Salem-Mettur Dam,1,SA,Salem Junction,0.0
SALEM,Salem-Mettur Dam,2,OML,Omalur Junction,11.0
SALEM,Salem-Mettur Dam,3,MCRD,Mecheri Road,27.0
SALEM,Salem-Mettur Dam,4,MTDM,Mettur Dam,40.0
SALEM,Coimbatore-Mettupalayam,1,CBE,Coimbatore Junction,
SALEM,Coimbatore-Mettupalayam,2,TDE,Thudiyalur,
SALEM,Coimbatore-Mettupalayam,3,PKD,Periyanaickenpalayam,
SALEM,Coimbatore-Mettupalayam,4,KAY,Karaimadai,
SALEM,Coimbatore-Mettupalayam,5,MTP,Mettupalayam,
SALEM,Nilgiri Mountain Railway,1,MTP,Mettupalayam,
SALEM,Nilgiri Mountain Railway,2,HLG,Hillgrove,
SALEM,Nilgiri Mountain Railway,3,ONR,Coonoor,
SALEM,Nilgiri Mountain Railway,4,WEL,Wellington,
SALEM,Nilgiri Mountain Railway,5,AVK,Aravankadu,
SALEM,Nilgiri Mountain Railway,6,KXT,Ketti,
SALEM,Nilgiri Mountain Railway,7,LOV,Lovedale,
SALEM,Nilgiri Mountain Railway,8,UAM,Udagamandalam,
PALAKKAD,Coimbatore - Palakkad,1,CBE,Coimbatore Junction,
PALAKKAD,Coimbatore - Palakkad,2,PTJ,Podanur Junction,
PALAKKAD,Coimbatore - Palakkad,3,MDKI,Madukarai,
PALAKKAD,Coimbatore - Palakkad,4,ETMD,Ettimadai,
PALAKKAD,Coimbatore - Palakkad,5,WRA,Walayar,
PALAKKAD,Coimbatore - Palakkad,6,KJKD,Kanjikode,
PALAKKAD,Coimbatore - Palakkad,7,PGT,Palakkad Junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),1,PGT,Palakkad Junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),2,KJKD,Kanjikode,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),3,WRA,Walayar,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),4,ETMD,Ettimadai,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),5,MDKI,Madukarai,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),6,PTJ,Podanur Junction,
PALAKKAD,Palakkad - Irugur (Bypass via Podanur),7,IGU,Irugur Junction,
PALAKKAD,Palakkad - Shoranur,1,PGT,Palakkad Junction,
PALAKKAD,Palakkad - Shoranur,2,PLL,Parli,
PALAKKAD,Palakkad - Shoranur,3,LDY,Lakkiti,
PALAKKAD,Palakkad - Shoranur,4,OTP,Ottappalam,
PALAKKAD,Palakkad - Shoranur,5,MNUR,Mannanur,
PALAKKAD,Palakkad - Shoranur,6,SRR,Shoranur Junction,
PALAKKAD,Shoranur-Mangalore,1,SRR,Shoranur Junction,
PALAKKAD,Shoranur-Mangalore,2,PTB,Pattambi,
PALAKKAD,Shoranur-Mangalore,3,KODN,Kodumunda,
PALAKKAD,Shoranur-Mangalore,4,PUM,Pallippuram,
PALAKKAD,Shoranur-Mangalore,5,KTU,Kuttippuram,
PALAKKAD,Shoranur-Mangalore,6,TUA,Tirunnavaya,
PALAKKAD,Shoranur-Mangalore,7,TIR,Tirur,
PALAKKAD,Shoranur-Mangalore,8,TA,Tanur,
PALAKKAD,Shoranur-Mangalore,9,PGI,Parappanangadi,
PALAKKAD,Shoranur-Mangalore,10,VLI,Vallikunnu,
PALAKKAD,Shoranur-Mangalore,11,KN,Kadalundi,
PALAKKAD,Shoranur-Mangalore,12,FK,Ferok,
PALAKKAD,Shoranur-Mangalore,13,KUL,Kallayi,
PALAKKAD,Shoranur-Mangalore,14,CLT,Kozhikode,
PALAKKAD,Shoranur-Mangalore,15,VLL,Vellayil,
PALAKKAD,Shoranur-Mangalore,16,WH,West Hill,
PALAKKAD,Shoranur-Mangalore,17,ETR,Elattur,
PALAKKAD,Shoranur-Mangalore,18,CMC,Chemancheri,
PALAKKAD,Shoranur-Mangalore,19,QLD,Quilandi,
PALAKKAD,Shoranur-Mangalore,20,VEK,Vellarakkad,
PALAKKAD,Shoranur-Mangalore,21,TKT,Tikkotti,
PALAKKAD,Shoranur-Mangalore,22,PYQR,Payyoli,
PALAKKAD,Shoranur-Mangalore,23,IGL,Iringal,
PALAKKAD,Shoranur-Mangalore,24,BDJ,Vadakara,
PALAKKAD,Shoranur-Mangalore,25,NAU,Nadapuramold,
PALAKKAD,Shoranur-Mangalore,26,MUKE,Mukkali,
